date,year,month,price_usd,unit,mineral
2000-10-01,2000,10,7.4,Dólar por Libra (USD/lb),Uranio (U)
2000-11-01,2000,11,7.13,Dólar por Libra (USD/lb),Uranio (U)
2000-12-01,2000,12,7.14,Dólar por Libra (USD/lb),Uranio (U)
2001-01-01,2001,1,7.1,Dólar por Libra (USD/lb),Uranio (U)
2001-02-01,2001,2,7.39,Dólar por Libra (USD/lb),Uranio (U)
2001-03-01,2001,3,7.69,Dólar por Libra (USD/lb),Uranio (U)
2001-04-01,2001,4,8.23,Dólar por Libra (USD/lb),Uranio (U)
2001-05-01,2001,5,9.0,Dólar por Libra (USD/lb),Uranio (U)
2001-06-01,2001,6,8.78,Dólar por Libra (USD/lb),Uranio (U)
2001-07-01,2001,7,8.75,Dólar por Libra (USD/lb),Uranio (U)
2001-08-01,2001,8,8.95,Dólar por Libra (USD/lb),Uranio (U)
2001-09-01,2001,9,9.15,Dólar por Libra (USD/lb),Uranio (U)
2001-10-01,2001,10,9.47,Dólar por Libra (USD/lb),Uranio (U)
2001-11-01,2001,11,9.43,Dólar por Libra (USD/lb),Uranio (U)
2001-12-01,2001,12,9.5,Dólar por Libra (USD/lb),Uranio (U)
2002-01-01,2002,1,9.59,Dólar por Libra (USD/lb),Uranio (U)
2002-02-01,2002,2,9.72,Dólar por Libra (USD/lb),Uranio (U)
2002-03-01,2002,3,9.95,Dólar por Libra (USD/lb),Uranio (U)
2002-04-01,2002,4,9.75,Dólar por Libra (USD/lb),Uranio (U)
2002-05-01,2002,5,9.9,Dólar por Libra (USD/lb),Uranio (U)
2002-06-01,2002,6,9.9,Dólar por Libra (USD/lb),Uranio (U)
2002-07-01,2002,7,9.89,Dólar por Libra (USD/lb),Uranio (U)
2002-08-01,2002,8,9.85,Dólar por Libra (USD/lb),Uranio (U)
2002-09-01,2002,9,9.8,Dólar por Libra (USD/lb),Uranio (U)
2002-10-01,2002,10,9.84,Dólar por Libra (USD/lb),Uranio (U)
2002-11-01,2002,11,9.86,Dólar por Libra (USD/lb),Uranio (U)
2002-12-01,2002,12,9.88,Dólar por Libra (USD/lb),Uranio (U)
2003-01-01,2003,1,10.16,Dólar por Libra (USD/lb),Uranio (U)
2003-02-01,2003,2,10.1,Dólar por Libra (USD/lb),Uranio (U)
2003-03-01,2003,3,10.1,Dólar por Libra (USD/lb),Uranio (U)
2003-04-01,2003,4,10.1,Dólar por Libra (USD/lb),Uranio (U)
2003-05-01,2003,5,10.9,Dólar por Libra (USD/lb),Uranio (U)
2003-06-01,2003,6,10.9,Dólar por Libra (USD/lb),Uranio (U)
2003-07-01,2003,7,10.95,Dólar por Libra (USD/lb),Uranio (U)
2003-08-01,2003,8,11.24,Dólar por Libra (USD/lb),Uranio (U)
2003-09-01,2003,9,11.49,Dólar por Libra (USD/lb),Uranio (U)
2003-10-01,2003,10,12.37,Dólar por Libra (USD/lb),Uranio (U)
2003-11-01,2003,11,13.18,Dólar por Libra (USD/lb),Uranio (U)
2003-12-01,2003,12,13.35,Dólar por Libra (USD/lb),Uranio (U)
2004-01-01,2004,1,14.8,Dólar por Libra (USD/lb),Uranio (U)
2004-02-01,2004,2,16.05,Dólar por Libra (USD/lb),Uranio (U)
2004-03-01,2004,3,17.14,Dólar por Libra (USD/lb),Uranio (U)
2004-04-01,2004,4,17.75,Dólar por Libra (USD/lb),Uranio (U)
2004-05-01,2004,5,17.75,Dólar por Libra (USD/lb),Uranio (U)
2004-06-01,2004,6,17.88,Dólar por Libra (USD/lb),Uranio (U)
2004-07-01,2004,7,17.9,Dólar por Libra (USD/lb),Uranio (U)
2004-08-01,2004,8,17.9,Dólar por Libra (USD/lb),Uranio (U)
2004-09-01,2004,9,18.6,Dólar por Libra (USD/lb),Uranio (U)
2004-10-01,2004,10,20.08,Dólar por Libra (USD/lb),Uranio (U)
2004-11-01,2004,11,20.2,Dólar por Libra (USD/lb),Uranio (U)
2004-12-01,2004,12,20.5,Dólar por Libra (USD/lb),Uranio (U)
2005-01-01,2005,1,20.54,Dólar por Libra (USD/lb),Uranio (U)
2005-02-01,2005,2,21.2,Dólar por Libra (USD/lb),Uranio (U)
2005-03-01,2005,3,21.84,Dólar por Libra (USD/lb),Uranio (U)
2005-04-01,2005,4,23.14,Dólar por Libra (USD/lb),Uranio (U)
2005-05-01,2005,5,28.25,Dólar por Libra (USD/lb),Uranio (U)
2005-06-01,2005,6,29.0,Dólar por Libra (USD/lb),Uranio (U)
2005-07-01,2005,7,29.28,Dólar por Libra (USD/lb),Uranio (U)
2005-08-01,2005,8,29.65,Dólar por Libra (USD/lb),Uranio (U)
2005-09-01,2005,9,30.43,Dólar por Libra (USD/lb),Uranio (U)
2005-10-01,2005,10,32.75,Dólar por Libra (USD/lb),Uranio (U)
2005-11-01,2005,11,33.56,Dólar por Libra (USD/lb),Uranio (U)
2005-12-01,2005,12,35.53,Dólar por Libra (USD/lb),Uranio (U)
2006-01-01,2006,1,36.75,Dólar por Libra (USD/lb),Uranio (U)
2006-02-01,2006,2,37.69,Dólar por Libra (USD/lb),Uranio (U)
2006-03-01,2006,3,39.77,Dólar por Libra (USD/lb),Uranio (U)
2006-04-01,2006,4,41.1,Dólar por Libra (USD/lb),Uranio (U)
